,City,Country,Latitude,Longitude,Date - Time,Max Temp,Humidity,Cloudiness,Wind Speed
278,Salaga,GH,8.55,-0.52,2019-10-01 14:25:48,80.14,86,100,4.41
279,San-Pedro,CI,4.75,-6.64,2019-10-01 14:25:49,80.14,87,97,5.7
280,Bilibino,RU,68.06,166.44,2019-10-01 14:25:50,18.94,96,100,2.33
281,Kidal,ML,18.44,1.41,2019-10-01 14:25:51,105.88,8,97,14.47
282,Puerto Leguizamo,CO,-0.19,-74.78,2019-10-01 14:25:52,89.68,51,8,5.53
283,Solwezi,ZM,-12.18,26.4,2019-10-01 14:25:54,86.08,24,97,4.5
284,Vetluzhskiy,RU,58.39,45.47,2019-10-01 14:25:55,54.94,90,100,13.98
285,Lethem,GY,3.38,-59.8,2019-10-01 14:25:56,90.58,50,80,11.59
286,Medina del Campo,ES,41.31,-4.92,2019-10-01 14:25:57,75.0,46,40,13.87
287,Prince Rupert,CA,54.32,-130.32,2019-10-01 14:22:18,51.8,57,90,6.93
288,Mangrol,IN,25.33,76.51,2019-10-01 14:26:00,73.84,83,93,5.97
289,Hohhot,CN,40.81,111.65,2019-10-01 14:26:02,64.4,55,0,2.24
290,Valleyview,CA,55.07,-117.28,2019-10-01 14:26:03,32.44,84,48,4.72
291,Kollam,IN,8.88,76.6,2019-10-01 14:26:00,82.4,83,40,3.36
292,Prado,CO,3.75,-74.93,2019-10-01 14:26:06,81.22,69,96,4.59
293,Aksu,KZ,52.04,76.93,2019-10-01 14:26:07,42.8,75,40,4.47
294,Mayo,CA,63.59,-135.9,2019-10-01 14:17:32,41.0,86,90,11.41
295,Myitkyina,MM,25.38,97.4,2019-10-01 14:26:09,69.52,96,62,2.51
296,Sisimiut,GL,66.94,-53.67,2019-10-01 14:26:10,40.18,78,100,8.32
297,Hasaki,JP,35.73,140.83,2019-10-01 14:17:34,66.2,93,40,2.24
298,Aykhal,RU,65.95,111.51,2019-10-01 14:16:48,23.0,100,75,2.24
299,Karaton,ID,-6.34,106.1,2019-10-01 14:26:14,82.4,69,20,2.24
300,Moose Factory,CA,51.26,-80.61,2019-10-01 14:26:15,42.8,93,90,9.17
301,Vagamo,NO,61.88,9.1,2019-10-01 14:26:16,33.34,90,96,11.25
302,Polis,CY,35.04,32.42,2019-10-01 14:26:17,80.6,69,20,16.11
303,Manokwari,ID,-0.87,134.08,2019-10-01 14:26:19,71.86,84,0,5.68
304,Heihe,RU,50.24,127.51,2019-10-01 14:26:20,50.0,100,40,4.47
305,Quelimane,MZ,-17.88,36.89,2019-10-01 14:17:43,84.2,70,40,13.87
306,Leningradskiy,RU,69.38,178.42,2019-10-01 14:17:29,35.5,89,39,4.83
307,Seoul,KR,37.57,126.98,2019-10-01 14:26:23,73.4,113,75,1.12
308,Vila Franca do Campo,PT,37.72,-25.43,2019-10-01 14:17:20,80.01,83,75,9.17
309,Chichi,NG,7.27,8.93,2019-10-01 14:26:26,77.44,85,100,3.83
310,Camacha,PT,33.08,-16.33,2019-10-01 14:25:05,75.2,64,20,12.75
311,Santa Isabel do Rio Negro,BR,-0.41,-65.02,2019-10-01 14:26:28,92.74,46,100,4.38
312,Bambous Virieux,MU,-20.34,57.76,2019-10-01 14:16:46,75.2,73,40,8.05
313,Tiksi,RU,71.64,128.87,2019-10-01 14:17:27,28.66,96,100,12.71
314,Polewali,ID,-4.03,119.8,2019-10-01 14:26:32,80.5,76,56,11.99
315,Finschhafen,PG,-6.6,147.85,2019-10-01 14:26:34,63.94,99,100,0.94
316,Sulangan,PH,11.14,123.72,2019-10-01 14:26:36,84.1,71,100,4.25
317,Havelock,US,34.88,-76.9,2019-10-01 14:26:37,81.0,69,90,9.17
318,Port Macquarie,AU,-31.43,152.91,2019-10-01 14:26:38,55.99,100,41,1.12
319,Provideniya,RU,64.42,-173.23,2019-10-01 14:17:01,41.26,99,100,12.12
320,Dabhol,IN,17.6,73.17,2019-10-01 14:26:40,82.84,75,0,7.2
321,Xichang,CN,27.88,102.25,2019-10-01 14:26:41,54.76,92,100,1.92
322,Havre-Saint-Pierre,CA,50.23,-63.6,2019-10-01 14:17:15,44.6,42,20,4.7
323,Goianinha,BR,-6.27,-35.21,2019-10-01 14:26:44,86.0,58,75,17.22
324,Kailua,US,21.39,-157.74,2019-10-01 14:26:45,80.6,69,40,11.41
325,Noumea,NC,-22.28,166.46,2019-10-01 14:26:46,66.2,77,0,2.24
326,Puerto Escondido,MX,15.86,-97.07,2019-10-01 14:26:47,75.2,69,75,1.19
327,Artyom,RU,43.36,132.19,2019-10-01 14:26:49,60.8,100,75,4.47
328,Verkh-Usugli,RU,52.7,115.17,2019-10-01 14:26:50,29.38,57,88,5.08
329,Horsham,AU,-36.71,142.2,2019-10-01 14:26:51,48.28,73,95,9.42
330,Curup,ID,-3.47,102.53,2019-10-01 14:26:52,67.9,95,100,1.32
331,Kalemie,CD,-5.95,29.2,2019-10-01 14:26:53,79.42,55,100,1.48
332,Rangapara,IN,26.82,92.69,2019-10-01 14:26:56,66.1,92,29,2.75
333,Sao Filipe,CV,14.9,-24.5,2019-10-01 14:17:17,78.88,84,0,11.34
334,Fairbanks,US,64.84,-147.72,2019-10-01 14:25:39,37.99,100,90,3.53
335,Praia,BR,-20.25,-43.81,2019-10-01 14:27:00,82.4,44,20,6.93
336,Vanavara,RU,60.35,102.28,2019-10-01 14:27:03,26.14,81,62,3.85
337,Semporna,MY,4.48,118.61,2019-10-01 14:27:04,78.8,88,75,2.24
338,Taitung,TW,22.76,121.15,2019-10-01 14:27:05,60.52,74,71,4.29
339,Honiara,SB,-9.43,159.96,2019-10-01 14:27:06,73.4,100,75,4.7
340,Ko Samui,TH,9.54,99.94,2019-10-01 14:27:07,84.2,74,20,3.36
341,Awjilah,LY,29.14,21.3,2019-10-01 14:27:09,88.06,26,0,11.9
342,Lanigan,CA,51.85,-105.03,2019-10-01 14:27:10,30.1,97,99,5.3
343,Atambua,ID,-9.11,124.89,2019-10-01 14:27:11,77.98,78,0,10.25
344,Surt,LY,31.21,16.59,2019-10-01 14:27:14,77.44,60,0,8.57
345,Venice,US,27.1,-82.45,2019-10-01 14:25:37,84.0,74,1,13.87
346,Kaeo,NZ,-35.1,173.78,2019-10-01 14:27:17,46.0,100,0,13.62
347,Mawlaik,MM,23.63,94.42,2019-10-01 14:27:18,68.8,97,97,4.36
348,Saint-Pierre,FR,48.95,4.24,2019-10-01 14:27:20,66.2,82,0,21.92
349,Marystown,CA,47.17,-55.16,2019-10-01 14:27:21,45.58,58,97,14.07
350,Kurumkan,RU,54.33,110.32,2019-10-01 14:27:22,20.56,89,38,1.63
351,Ramnagar,IN,27.17,84.33,2019-10-01 14:27:23,76.54,84,4,4.27
352,Salihorsk,BY,52.79,27.54,2019-10-01 14:27:25,53.5,72,54,8.61
353,Benguela,AO,-12.58,13.4,2019-10-01 14:27:26,84.2,58,0,11.41
354,Puerto Penasco,MX,31.32,-113.53,2019-10-01 14:27:27,76.72,26,0,5.37
355,Altamira,BR,-3.2,-52.21,2019-10-01 14:26:13,94.72,40,58,5.35
356,Broken Hill,AU,-31.97,141.45,2019-10-01 14:27:31,62.6,14,0,9.17
357,Margate,AU,-43.03,147.26,2019-10-01 14:27:32,45.0,86,100,1.81
358,Wageningen,NL,51.98,5.66,2019-10-01 14:27:33,66.0,77,75,14.99
359,Gobabis,NA,-22.45,18.97,2019-10-01 14:27:35,80.6,8,0,4.7
360,Nyimba,ZM,-14.56,30.81,2019-10-01 14:27:37,92.38,25,93,9.08
361,Inuvik,CA,68.36,-133.71,2019-10-01 14:27:38,33.8,80,20,2.21
362,Rapid Valley,US,44.06,-103.15,2019-10-01 14:25:33,39.2,97,90,13.87
363,Haldibari,IN,26.34,88.78,2019-10-01 14:27:40,77.0,83,75,3.36
364,Bontang,ID,0.12,117.47,2019-10-01 14:27:41,74.38,95,61,2.46
365,Severo-Kurilsk,RU,50.68,156.12,2019-10-01 14:17:47,45.76,87,42,12.86
366,Bereda,ES,43.27,-7.54,2019-10-01 14:27:44,70.0,72,20,14.99
367,Trincomalee,LK,8.58,81.23,2019-10-01 14:27:46,76.9,85,0,1.45
368,Mildura,AU,-34.18,142.16,2019-10-01 14:27:47,53.01,34,43,3.36
369,Waipawa,NZ,-39.94,176.59,2019-10-01 14:27:48,39.0,92,8,5.12
370,Saravan,AM,39.72,45.65,2019-10-01 14:27:52,82.4,19,0,4.7
371,Gizo,IL,31.8,34.94,2019-10-01 14:27:53,82.99,58,20,12.75
372,Wanning,AT,48.64,13.53,2019-10-01 14:27:54,77.0,38,20,3.36
373,Comodoro Rivadavia,AR,-45.87,-67.48,2019-10-01 14:17:57,46.4,39,40,9.17
374,Hambantota,LK,6.12,81.12,2019-10-01 14:27:56,80.6,94,40,3.36
375,Ratnagiri,IN,16.98,73.3,2019-10-01 14:27:59,82.84,75,10,6.33
376,Giaveno,IT,45.04,7.35,2019-10-01 14:28:00,77.0,56,75,4.99
377,Lidkoping,SE,58.51,13.16,2019-10-01 14:28:01,53.6,62,20,17.22
378,Suba,CN,28.73,103.51,2019-10-01 14:28:02,62.32,94,99,1.68
379,Chalinze,TZ,-6.64,38.35,2019-10-01 14:28:04,85.0,51,78,8.28
380,Huarmey,PE,-10.07,-78.15,2019-10-01 14:28:05,61.42,93,100,10.36
381,Nambucca Heads,AU,-30.64,152.99,2019-10-01 14:28:06,57.2,93,90,4.7
382,Farmington,US,36.73,-108.21,2019-10-01 14:26:43,54.0,39,1,6.93
383,Ahuimanu,US,21.44,-157.84,2019-10-01 14:28:08,80.6,69,40,11.41
384,San Patricio,PY,-26.98,-56.83,2019-10-01 14:28:09,96.16,26,0,14.43
385,Byron Bay,AU,-28.65,153.62,2019-10-01 14:26:30,64.4,72,75,6.93
386,Piedra Gorda,EC,-0.75,-80.04,2019-10-01 14:28:12,81.04,58,81,3.8
387,Aswan,EG,24.09,32.9,2019-10-01 14:28:13,100.4,12,0,6.93
388,Sorland,NO,67.67,12.69,2019-10-01 14:28:14,51.8,76,0,33.33
389,Tashara,RU,55.52,83.51,2019-10-01 14:28:15,35.86,72,55,6.78
390,Chumikan,RU,54.72,135.31,2019-10-01 14:28:17,40.72,96,100,3.58
391,Kapit,MY,2.02,112.94,2019-10-01 14:28:18,71.68,99,100,1.32
392,Southbridge,US,42.08,-72.03,2019-10-01 14:28:19,64.0,93,90,13.87
393,Sambava,MG,-14.27,50.17,2019-10-01 14:28:21,69.88,96,15,2.08
394,Medyn,RU,54.97,35.86,2019-10-01 14:28:22,55.4,82,0,6.71
395,Shadegan,IR,30.65,48.67,2019-10-01 14:28:24,104.0,53,0,6.93
396,Nelson Bay,AU,-32.72,152.14,2019-10-01 14:28:25,60.01,87,0,4.7
397,Chon Daen,TH,16.19,100.86,2019-10-01 14:28:26,80.32,76,14,1.63
398,Gigmoto,PH,13.78,124.39,2019-10-01 14:28:27,82.66,80,96,6.93
399,Matamoros,US,25.87,-97.51,2019-10-01 14:28:28,87.01,83,90,3.36
400,Bela Palanka,RS,43.22,22.31,2019-10-01 14:28:30,82.4,23,20,3.36
401,Ketchikan,US,55.34,-131.65,2019-10-01 14:28:31,55.4,58,90,10.29
402,Fountain,US,38.68,-104.7,2019-10-01 14:28:34,55.99,76,90,4.7
403,Esperance,AU,-33.86,121.89,2019-10-01 14:28:36,53.6,100,33,6.93
404,Corn Island,NI,12.17,-83.04,2019-10-01 14:28:37,80.14,74,55,8.39
405,Athmallik,IN,20.72,84.53,2019-10-01 14:28:38,76.9,88,100,2.46
406,Yozgat,TR,39.82,34.81,2019-10-01 14:28:39,70.06,25,0,7.99
407,Monroe,US,41.91,-83.4,2019-10-01 14:27:37,80.6,65,1,5.82
408,Hamilton,CA,43.26,-79.87,2019-10-01 14:24:21,82.0,73,40,10.29
409,Savelugu,GH,9.63,-0.83,2019-10-01 14:28:43,83.56,68,94,4.09
410,Chernyshevskiy,RU,63.01,112.47,2019-10-01 14:28:44,26.86,89,78,4.85
411,Pudozh,RU,61.81,36.54,2019-10-01 14:28:46,47.74,89,100,18.68
412,Kiruna,SE,67.86,20.23,2019-10-01 14:28:49,35.6,93,90,19.46
413,Berlevag,NO,70.86,29.09,2019-10-01 14:28:50,41.0,67,75,28.86
414,Lovozero,RU,68.01,35.02,2019-10-01 14:28:51,35.32,87,100,18.77
415,San Policarpo,PH,12.18,125.51,2019-10-01 14:28:52,81.4,80,100,5.23
416,Palmer,AU,-34.85,139.16,2019-10-01 14:25:35,75.2,15,0,12.75
417,Narsaq,GL,60.91,-46.05,2019-10-01 14:28:55,51.8,29,75,36.91
418,San Pedro,AR,-33.68,-59.66,2019-10-01 14:27:19,62.01,66,100,13.0
419,Iskateley,RU,67.68,53.15,2019-10-01 14:28:57,37.3,94,99,6.42
420,Dibrugarh,IN,27.48,94.9,2019-10-01 14:28:59,77.0,94,40,1.12
421,Sitka,US,37.17,-99.65,2019-10-01 14:29:00,71.01,91,100,15.01
422,Muros,ES,42.77,-9.06,2019-10-01 14:29:01,69.01,64,40,11.41
423,Prince George,CA,53.92,-122.75,2019-10-01 14:25:19,28.99,86,75,3.36
424,Barmer,IN,25.74,71.4,2019-10-01 14:29:04,93.28,35,58,10.31
425,Rantepao,ID,-2.97,119.9,2019-10-01 14:26:13,58.9,98,28,2.55
426,Acapulco,MX,16.86,-99.88,2019-10-01 14:26:54,78.8,78,40,6.93
427,Surgut,RU,61.25,73.4,2019-10-01 14:29:07,41.0,100,90,11.18
428,Majene,ID,-3.54,118.97,2019-10-01 14:29:12,82.12,77,100,6.04
429,Fallon,US,46.84,-105.12,2019-10-01 14:29:13,36.0,86,90,6.93
430,Lavrentiya,RU,65.58,-170.99,2019-10-01 14:29:14,36.4,98,78,9.19
431,Okha,RU,53.59,142.95,2019-10-01 14:29:16,49.36,77,100,15.79
432,Kaabong,UG,3.51,34.14,2019-10-01 14:29:17,74.02,68,4,3.42
433,Hueytown,US,33.45,-87.0,2019-10-01 14:29:18,87.01,61,0,5.82
434,Beian,NO,63.66,9.57,2019-10-01 14:29:19,48.0,93,75,11.41
435,Raudeberg,NO,61.99,5.14,2019-10-01 14:29:21,48.2,81,40,23.04
436,Turukhansk,RU,65.8,87.96,2019-10-01 14:29:22,34.06,96,100,16.26
437,Kamenka,MD,48.03,28.7,2019-10-01 14:29:23,66.0,50,38,4.0
438,Podgornoye,RU,57.79,82.64,2019-10-01 14:29:24,39.64,91,100,8.79
439,Boddam,GB,57.47,-1.78,2019-10-01 14:29:26,48.2,81,40,12.75
440,Hay River,CA,60.82,-115.79,2019-10-01 14:29:27,33.8,74,20,3.83
441,Kurilsk,RU,45.23,147.88,2019-10-01 14:29:28,57.82,88,59,9.64
442,Olinda,AU,-37.84,145.39,2019-10-01 14:29:30,57.0,76,40,5.82
443,Savannah Bight,HN,16.45,-85.85,2019-10-01 14:29:31,83.92,63,17,5.03
444,Mbanza-Ngungu,CD,-5.25,14.87,2019-10-01 14:29:32,86.98,45,100,5.93
445,Shaunavon,CA,49.65,-108.41,2019-10-01 14:29:34,25.24,92,35,4.14
446,Port Hawkesbury,CA,45.62,-61.36,2019-10-01 14:29:36,53.01,76,75,8.05
447,Kichmengskiy Gorodok,RU,59.99,45.81,2019-10-01 14:29:37,53.68,94,100,11.12
448,Namie,JP,37.52,140.86,2019-10-01 14:29:39,62.01,71,86,2.59
449,Ancud,CL,-41.87,-73.83,2019-10-01 14:29:40,44.6,60,75,4.7
450,Sladkovo,RU,55.53,70.34,2019-10-01 14:27:59,40.0,71,51,10.65
451,Gusau,NG,12.17,6.66,2019-10-01 14:29:43,90.04,46,97,6.85
452,Gushikawa,JP,26.35,127.87,2019-10-01 14:29:44,82.4,88,20,10.29
453,Hokitika,NZ,-42.72,170.96,2019-10-01 14:29:45,46.48,92,100,9.42
454,Ennis,IE,52.84,-8.98,2019-10-01 14:29:46,57.2,67,75,16.11
455,San Rafael,AR,-34.61,-68.33,2019-10-01 14:26:21,51.88,27,79,12.5
456,Karla,EE,59.37,24.93,2019-10-01 14:29:48,48.2,87,75,10.29
457,Mahebourg,MU,-20.41,57.7,2019-10-01 14:29:50,75.2,73,40,8.05
458,Shingu,JP,33.72,135.99,2019-10-01 14:29:51,65.02,97,89,4.23
459,Dickson,US,36.08,-87.39,2019-10-01 14:29:52,86.0,58,1,2.89
460,Srednekolymsk,RU,67.46,153.71,2019-10-01 14:29:54,23.08,76,69,6.87
461,Fez,MA,34.03,-5.02,2019-10-01 14:29:55,89.6,18,0,12.75
462,Yarqa,JO,31.98,35.69,2019-10-01 14:29:56,84.2,37,0,9.17
463,Shumskiy,RU,54.83,99.13,2019-10-01 14:29:57,29.56,86,0,2.23
464,Yar-Sale,RU,66.83,70.83,2019-10-01 14:29:58,39.1,96,100,9.4
465,Leh,IN,34.16,77.58,2019-10-01 14:30:00,37.3,45,100,0.87
466,Arosa,CH,46.78,9.68,2019-10-01 14:30:01,73.99,58,20,17.22
467,Maltahohe,NA,-24.83,16.98,2019-10-01 14:30:02,76.0,7,0,10.11
468,Zboriv,UA,49.66,25.14,2019-10-01 14:30:04,61.78,61,0,7.81
469,Shimoda,JP,34.7,138.93,2019-10-01 14:30:05,75.2,78,75,3.36
470,Pilar,AR,-34.46,-58.91,2019-10-01 14:29:35,57.0,82,90,17.22
471,Channel-Port aux Basques,CA,47.57,-59.14,2019-10-01 14:30:08,45.58,65,33,20.54
472,Kozhva,RU,65.11,57.05,2019-10-01 14:30:09,43.96,94,99,7.52
473,Falam,MM,22.91,93.68,2019-10-01 14:30:10,62.86,99,100,0.22
474,Guadalupe y Calvo,MX,26.09,-106.96,2019-10-01 14:30:12,57.46,97,100,2.04
475,Yashan,CN,30.81,118.02,2019-10-01 14:30:14,68.98,94,31,2.21
476,Iqaluit,CA,63.75,-68.52,2019-10-01 14:26:50,37.4,60,40,3.36
477,Chapais,CA,49.78,-74.86,2019-10-01 14:30:16,37.4,93,90,13.87
478,Guerrero Negro,MX,27.97,-114.04,2019-10-01 14:30:17,66.64,78,0,17.6
479,Nome,US,30.04,-94.42,2019-10-01 14:30:18,84.2,78,1,8.28
480,Nishihara,JP,35.74,139.53,2019-10-01 14:30:20,75.0,73,1,3.36
481,Bella Union,CO,8.5,-73.35,2019-10-01 14:30:21,77.62,70,50,3.51
482,La Asuncion,AR,-26.05,-65.39,2019-10-01 14:30:22,62.86,64,100,7.11
483,Salalah,OM,17.01,54.1,2019-10-01 14:25:40,82.4,78,75,11.41
484,Tual,ID,-5.67,132.75,2019-10-01 14:30:25,79.6,87,99,11.36
485,Portland,US,43.66,-70.25,2019-10-01 14:25:45,57.2,87,90,10.29
486,Nawa,IN,27.02,75.0,2019-10-01 14:30:28,84.46,44,0,8.28
487,Moyale,ET,3.52,39.05,2019-10-01 14:30:30,80.14,55,43,7.7
488,Teya,MX,21.05,-89.07,2019-10-01 14:30:31,84.0,78,5,4.7
489,Ati,TD,13.21,18.34,2019-10-01 14:30:32,99.58,23,0,6.13
490,Eyemouth,GB,55.87,-2.09,2019-10-01 14:30:33,54.0,81,23,18.99
491,Antsohihy,MG,-14.88,47.99,2019-10-01 14:30:34,81.58,77,31,5.93
492,Sagauli,IN,26.78,84.73,2019-10-01 14:30:36,76.0,83,12,4.9
493,Luderitz,NA,-26.65,15.16,2019-10-01 14:30:37,77.0,38,0,20.8
494,Trinidad,BO,-14.83,-64.9,2019-10-01 14:30:38,86.0,62,75,16.11
495,Caiaponia,BR,-16.96,-51.81,2019-10-01 14:30:39,97.06,23,5,10.2
496,Cabo San Lucas,MX,22.89,-109.91,2019-10-01 14:30:36,73.99,83,75,4.59
497,Saurimo,AO,-9.66,20.4,2019-10-01 14:30:42,87.8,43,40,8.05
498,Vila,IT,45.18,8.4,2019-10-01 14:30:43,79.0,53,40,5.82
499,High Prairie,CA,55.43,-116.48,2019-10-01 14:30:44,32.08,79,56,4.25
500,Mataram,ID,-5.32,105.06,2019-10-01 14:30:45,69.52,96,46,1.39
501,Kahului,US,20.89,-156.47,2019-10-01 14:28:30,77.0,73,40,11.41
502,Itarema,BR,-2.92,-39.92,2019-10-01 14:30:48,90.76,43,0,17.9
503,Okhotsk,RU,59.36,143.24,2019-10-01 14:30:49,37.48,71,100,2.21
504,Angoche,MZ,-16.23,39.91,2019-10-01 14:30:50,84.1,64,68,14.43
505,Manfredonia,IT,41.63,15.91,2019-10-01 14:30:51,82.4,57,20,14.99
506,Maraa,BR,-1.83,-65.37,2019-10-01 14:30:52,94.0,45,89,4.29
507,Xining,CN,36.62,101.77,2019-10-01 14:30:44,51.34,34,95,1.72
508,Zhigansk,RU,66.77,123.37,2019-10-01 14:30:56,23.62,81,59,6.46
509,Santa Helena,BR,-2.23,-45.3,2019-10-01 14:30:57,90.4,49,95,6.89
510,Kutoarjo,ID,-7.72,109.9,2019-10-01 14:30:58,69.88,93,93,0.6
511,Sur,OM,22.57,59.53,2019-10-01 14:31:00,92.02,44,0,2.57
512,Nchelenge,ZM,-9.35,28.74,2019-10-01 14:31:01,80.32,61,1,8.95
513,Ola,RU,59.58,151.3,2019-10-01 14:31:02,35.32,52,54,4.43
514,Neuquen,AR,-38.95,-68.06,2019-10-01 14:31:03,51.8,37,0,10.29
515,Namestovo,SK,49.41,19.48,2019-10-01 14:31:05,68.0,52,20,13.87
516,Marzuq,YE,14.4,46.47,2019-10-01 14:31:06,79.06,47,73,10.85
517,Vestmannaeyjar,IS,63.44,-20.27,2019-10-01 14:31:07,48.2,76,0,4.7
518,Pyay,MM,18.82,95.22,2019-10-01 14:30:42,74.56,93,84,2.75
519,Khromtau,KZ,50.26,58.44,2019-10-01 14:31:09,48.1,43,98,7.25
520,Gabu,CN,34.78,103.0,2019-10-01 14:31:11,42.52,70,100,3.91
521,Flin Flon,CA,54.77,-101.88,2019-10-01 14:31:12,33.8,74,75,3.36
522,Tabou,CI,4.42,-7.36,2019-10-01 14:31:13,81.94,77,55,9.06
523,Pagudpud,PH,18.56,120.79,2019-10-01 14:31:14,82.12,71,100,2.13
524,Morogoro,TZ,-6.82,37.67,2019-10-01 14:31:16,89.6,46,40,7.09
525,Mae Hong Son,MM,19.3,97.96,2019-10-01 14:31:17,69.52,92,60,1.74
526,Moundou,TD,8.57,16.07,2019-10-01 14:31:18,87.8,74,40,4.7
527,Mayahi,NE,13.95,7.67,2019-10-01 14:31:20,97.6,27,0,7.74
528,Phonhong,LA,18.5,102.42,2019-10-01 14:31:21,80.6,88,0,2.24
529,Tekeli,KZ,44.86,78.76,2019-10-01 14:31:22,44.14,41,100,3.78
530,Marfino,RU,56.07,37.56,2019-10-01 14:31:23,57.2,93,40,15.66
531,Koulikoro,ML,12.86,-7.56,2019-10-01 14:31:25,93.2,46,20,6.93
532,Fereydun Kenar,IR,36.69,52.52,2019-10-01 14:31:26,77.0,61,0,2.24
533,Tutoia,BR,-2.76,-42.27,2019-10-01 14:31:27,89.6,59,20,25.28
534,Marawi,PH,8.0,124.29,2019-10-01 14:31:29,73.0,94,100,8.01
535,Huainan,CN,32.59,117.01,2019-10-01 14:31:31,72.76,77,0,9.55
536,Teknaf,BD,20.86,92.31,2019-10-01 14:31:32,79.24,81,100,3.13
537,Port Keats,AU,-14.25,129.55,2019-10-01 14:31:33,77.26,73,13,5.55
538,Los Llanos de Aridane,ES,28.66,-17.92,2019-10-01 14:31:25,82.0,69,20,13.87
539,Xapuri,BR,-10.65,-68.5,2019-10-01 14:31:35,78.8,83,90,6.93
540,Poronaysk,RU,49.22,143.1,2019-10-01 14:31:37,44.32,82,0,0.72
541,Ostrovnoy,RU,68.05,39.51,2019-10-01 14:31:38,38.02,81,100,18.72
542,Sikonge,TZ,-5.63,32.75,2019-10-01 14:31:39,89.6,33,40,5.82
543,Haines Junction,CA,60.75,-137.51,2019-10-01 14:31:40,37.84,98,100,5.1
544,Aksarka,RU,66.56,67.8,2019-10-01 14:31:41,37.66,98,100,9.24
545,Tateyama,JP,36.66,137.31,2019-10-01 14:31:43,70.0,90,40,1.01
546,Cloquet,US,46.72,-92.46,2019-10-01 14:31:44,51.01,87,90,5.82
547,Rudnya,RU,50.8,44.56,2019-10-01 14:31:45,57.46,86,100,12.73
548,Saint-Augustin,CA,45.63,-73.98,2019-10-01 14:31:46,57.99,100,90,4.7
549,Bartica,GY,6.41,-58.62,2019-10-01 14:31:47,86.0,74,40,11.41
550,Isoka,ZM,-10.15,32.64,2019-10-01 14:31:49,83.56,36,5,11.41
551,Basco,US,40.33,-91.2,2019-10-01 14:31:50,79.0,83,75,11.41
552,Aasiaat,GL,68.71,-52.87,2019-10-01 14:31:51,38.2,66,97,10.85
553,Lebanon,US,40.34,-76.42,2019-10-01 14:28:37,71.01,82,90,6.04
554,Mount Gambier,AU,-37.83,140.78,2019-10-01 14:31:54,53.6,58,30,9.17
555,Bantva,IN,21.49,70.07,2019-10-01 14:31:56,79.24,85,96,8.57
